"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
27928,"2024-07-02","2024OP005777",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005776","2024NS018436","2024-07-03","2024-07-03",54129
27926,"2024-07-02","2024OP005775",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005774","2024NS018434","2024-07-03","2024-07-03",54117
33832,"2024-12-12","2024OP007303",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB007298","2024NS032892","2024-12-12","2024-12-12",53152
38457,"2024-12-12","2024OP011928",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB012179","2024NS037522","2024-12-12","2024-12-12",58963
33032,"2024-12-12","2024OP006503",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006501","2024NS032092","2024-12-12","2024-12-12",58271
32630,"2024-07-05","2024OP006026",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006103","2024NS019112","2024-12-12","2024-07-05",54113
27936,"2024-07-02","2024OP005785",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005784","2024NS018444","2024-07-03","2024-07-03",54130
33027,"2024-12-12","2024OP006498",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006500","2024NS032087","2024-12-12","2024-12-12",54133
27931,"2024-07-02","2024OP005780",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005779","2024NS018439","2024-07-03","2024-07-03",54116
33038,"2024-12-12","2024OP006509",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006511","2024NS032098","2024-12-12","2024-12-12",54118
33039,"2024-12-12","2024OP006510",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006512","2024NS032099","2024-12-12","2024-12-12",54115
33037,"2024-12-12","2024OP006508",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006510","2024NS032097","2024-12-12","2024-12-12",54131
27935,"2024-07-02","2024OP005784",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005783","2024NS018443","2024-07-03","2024-07-03",54119
33035,"2024-12-12","2024OP006506",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006507","2024NS032095","2024-12-12","2024-12-12",54132
33036,"2024-12-12","2024OP006507",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006509","2024NS032096","2024-12-12","2024-12-12",55474
27932,"2024-07-02","2024OP005781",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005780","2024NS018440","2024-07-03","2024-07-03",54125
33042,"2024-12-12","2024OP006513",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006515","2024NS032102","2024-12-12","2024-12-12",54120
27937,"2024-07-02","2024OP005786",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005785","2024NS018445","2024-07-03","2024-07-03",54121
33030,"2024-12-12","2024OP006501",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006506","2024NS032090","2024-12-12","2024-12-12",54134
27927,"2024-07-02","2024OP005776",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005775","2024NS018435","2024-07-03","2024-07-03",58295
30605,"2024-07-02","2024OP003327",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003327","2024NS015986","2024-07-02","2024-07-03",54135
30604,"2024-07-02","2024OP003326",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003326","2024NS015985","2024-07-02","2024-07-03",52197
32032,"2024-07-02","2024OP004754",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004753","2024NS017413","2024-07-03","2024-07-03",49369
29727,"2024-07-02","2024OP002449",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB002449","2024NS015108","2024-07-02","2024-07-03",53897
36253,"2024-12-12","2024OP009724",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009728","2024NS035313","2024-12-12","2024-12-12",54141
36268,"2024-12-12","2024OP009739",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009745","2024NS035328","2024-12-12","2024-12-12",54142
36269,"2024-12-12","2024OP009740",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009756","2024NS035329","2024-12-12","2024-12-12",54144
30600,"2024-07-02","2024OP003322",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003322","2024NS015981","2024-07-02","2024-07-03",54143
36254,"2024-12-12","2024OP009725",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009739","2024NS035314","2024-12-12","2024-12-12",54138
30609,"2024-07-02","2024OP003331",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003331","2024NS015990","2024-07-02","2024-07-03",54140
29006,"2024-07-02","2024OP001728",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB001722","2024NS014387","2024-07-02","2024-07-02",53708
30612,"2024-07-02","2024OP003334",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003334","2024NS015993","2024-07-02","2024-07-03",51960
36163,"2024-12-12","2024OP009634",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009638","2024NS035223","2024-12-12","2024-12-12",60336
30554,"2024-07-02","2024OP003276",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003276","2024NS015935","2024-07-02","2024-07-03",54272
37702,"2024-12-12","2024OP011173",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011512","2024NS036767","2024-12-12","2024-12-12",55752
36266,"2024-12-12","2024OP009737",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009714","2024NS035326","2024-12-12","2024-12-12",54136
27930,"2024-07-02","2024OP005779",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005778","2024NS018438","2024-07-03","2024-07-03",57761
36263,"2024-12-12","2024OP009734",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009727","2024NS035323","2024-12-12","2024-12-12",54137
30608,"2024-07-02","2024OP003330",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003330","2024NS015989","2024-07-02","2024-07-03",54139
30597,"2024-07-02","2024OP003319",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003319","2024NS015978","2024-07-02","2024-07-03",51615
30601,"2024-07-02","2024OP003323",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003323","2024NS015982","2024-07-02","2024-07-03",54484
33034,"2024-12-12","2024OP006505",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006505","2024NS032094","2024-12-12","2024-12-12",56768
33026,"2024-12-12","2024OP006497",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006499","2024NS032086","2024-12-12","2024-12-12",60558
27938,"2024-07-02","2024OP005787",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005786","2024NS018446","2024-07-03","2024-07-03",57681
36252,"2024-12-12","2024OP009723",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009736","2024NS035312","2024-12-12","2024-12-12",53258
37883,"2024-12-12","2024OP011354",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011600","2024NS036948","2024-12-12","2024-12-12",52333
31944,"2024-07-02","2024OP004666",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004665","2024NS017325","2024-07-03","2024-07-03",52332
28790,"2024-07-02","2024OP001512",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB001512","2024NS014171","2024-07-02","2024-07-02",52339
36250,"2024-12-12","2024OP009721",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009721","2024NS035310","2024-12-12","2024-12-12",60380
30613,"2024-07-02","2024OP003335",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003335","2024NS015994","2024-07-02","2024-07-03",53048
31583,"2024-07-02","2024OP004305",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004305","2024NS016964","2024-07-03","2024-07-03",58424
31584,"2024-07-02","2024OP004306",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004306","2024NS016965","2024-07-03","2024-07-03",58423
37449,"2024-12-12","2024OP010920",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010935","2024NS036514","2024-12-12","2024-12-12",60202
36262,"2024-12-12","2024OP009733",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009737","2024NS035322","2024-12-12","2024-12-12",54160
31153,"2024-07-02","2024OP003875",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003875","2024NS016534","2024-07-03","2024-07-03",57727
36983,"2024-12-12","2024OP010454",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010450","2024NS036043","2024-12-12","2024-12-12",51420
36962,"2024-12-12","2024OP010433",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010437","2024NS036022","2024-12-12","2024-12-12",56743
36235,"2024-12-12","2024OP009706",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009709","2024NS035295","2024-12-12","2024-12-12",52343
36236,"2024-12-12","2024OP009707",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009712","2024NS035296","2024-12-12","2024-12-12",52342
36778,"2024-12-12","2024OP010249",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010264","2024NS035838","2024-12-12","2024-12-12",52341
36259,"2024-12-12","2024OP009730",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009738","2024NS035319","2024-12-12","2024-12-12",53003
32736,"2024-12-12","2024OP006207",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006209","2024NS031796","2024-12-12","2024-12-12",58007
31168,"2024-07-02","2024OP003890",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003890","2024NS016549","2024-07-03","2024-07-03",53383
36981,"2024-12-12","2024OP010452",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010459","2024NS036041","2024-12-12","2024-12-12",53961
36972,"2024-12-12","2024OP010443",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010438","2024NS036032","2024-12-12","2024-12-12",53478
36984,"2024-12-12","2024OP010455",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010467","2024NS036044","2024-12-12","2024-12-12",59197
