id_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
40810,100619,10,"LOCAÇÃO DE 160 GRADES DE CONTENÇÃO  PARA EVENTO MEDIDAS DE 1,20 X 2,00 MTS, PARA 04 FESTAS DA FEIRA DA AGRICULTURA FAMILIAR",UN,160,4640,0,0,0,0,0,0,0,36
40810,100620,11,LOCAÇÃO DE 04 PAINEL DE LED PARA 04 FESTAS DA FEIRA DA AGRICULTURA FAMILIAR,UN,4,36000,0,0,0,0,0,0,0,36
40810,87626,1,PAGAMENTO DE CACHÊS A  06 (BANDAS/ARTISTAS) CONTRATADOS  PARA APRESENTAÇÕES DE 04 FEIRAS DA AGRICULTURA FAMILIAR NO MUNICÍPIO.,UN,6,179604,0,0,0,0,0,0,0,36
40810,90663,3,LOCAÇÃO DE 24 BANHEIROS QUIMICOS   PARA 04 FESTAS DA FEIRA DA AGRICULTURA FAMILIAR NO MUNICÍPIO,UN,24,7656,0,0,0,0,0,0,0,36
40786,87586,1,Aquisição de materiais de consumo - Combustível,UN,1,100000,0,0,0,0,0,0,0,36
40786,104119,2,"Aquisição de materiais de consumo - Peças Automotivas,",UN,1,50000,0,0,0,0,0,0,0,36
40786,104121,4,Aquisição de materiais de consumo - material de limpeza,UN,1,96000,0,0,0,0,0,0,0,36
40786,104120,3,Aquisição de materiais de consumo - material de expediente,UN,1,150000,0,0,0,0,0,0,0,36
44178,93380,1,Reforma e ampliação do Mercado Publico,M2,850,0,1980000,0,0,0,0,0,0,18
45164,95212,1,"Execução de pavimento em paralelepípedo, rejuntamento com argamassa traço 1:3 (cimento e areia) AF_05/2020 Assentamento de guia (meio fio) em trecho reto, confeccionada em concreto pré-fabricado",UN,400,0,396000,0,0,0,0,0,0,36
44111,93239,1,REFORMA DE UNIDADE BÁSICA DE SAÚDE,UN,1,0,445500,0,0,0,0,0,0,36
44250,93544,1,"Revitalização, construção de calçadas e passeios públicos: Acessibilidade de calçadas e passeios públicos.",UN,1,0,396000,0,0,0,0,0,0,36
42490,90500,1,Pavimentação de Ruas do Bairro km 02,UN,1,0,396000,0,3960,0,0,0,0,12
46502,98185,1,"Realizar serviços de manutenção e complementação de obras de contenção de encostas em áreas urbanas do município de Cortês, com o objetivo de prevenir deslizamentos e proteger a população durante o período de chuvas.",OUTRAS,1,0,396000,0,0,0,0,0,0,36
42501,90516,1,"CONJUNTO ESCOLAR PARA ADULTO - CADEIRA ESCOLAR ADULTO, COR AZUL. PINTURA ELETROSTÁTICA PO, FERRAGEM 1,50mm.",UN,50,0,10750,0,0,0,0,0,0,12
42501,90517,2,"CONJUNTO ESCOLAR FNDE ENSINO FUNDAMENTAL TAMANHO 06, COR AZUL. (COTA PRINCIPAL – AMPLA PARTICIPAÇÃO)",UN,360,0,114509.52,0,330.48,0,0,0,0,12
42501,90518,3,"CONJUNTO DE MESA OITAVADA COM 8 CADEIRAS UMBRIDGE COLORIDO, EDUCAÇÃO CRECHE.",UN,5,0,6875,0,0,0,0,0,0,12
42501,90519,4,"CONJUNTO DE MESA SEXTAVADA (6 CADEIRAS) COM TAMPO EM FORMICA NA COR AZUL. MEDINDO 1,60cm x 0,74cm.",UN,3,0,2937,0,0,0,0,0,0,12
42501,90520,5,"BIRÔ REFORÇADO COM 02 GAVETAS COM 0,80M X 2M EM MDF COM PÉS REFOÇARDOS EM TUBO DUPLO DE FERRO. CONFIGURAÇÃO MINIMA E COM NO MINIMO 01 ANO DE GARANTIA.",UN,12,0,3453.48,0,0,0,0,0,0,12
42501,90521,6,"CONJUNTO ESCOLAR FNDE ENSINO INFANTIL TAMANHO 03, COR AZUL. (COTA PRINCIPAL – AMPLA PARTICIPAÇÃO)",UN,147,0,44835,0,0,0,0,0,0,12
42501,90522,7,"CONJUNTO ESCOLAR FNDE ENSINO INFANTIL TAMANHO 03, COR AZUL. (COTA RESERVADA A ME/EPP)",UN,48,0,14640,0,0,0,0,0,0,12
46787,98730,1,"Aquisição de materiais de consumo: como medicamentos, materiais de higiene, equipamentos de proteção individual (EPIs), etc.",UN,1,430020.35,0,0,0,0,0,0,0,36
46787,98766,2,"Contratação de serviços: incluindo serviços de manutenção, limpeza, segurança, e outros serviços terceirizados necessários.",UN,1,300000,0,0,0,0,0,0,0,36
46787,98772,3,"Pagamento de pessoal : incluindo salários, encargos sociais e benefícios de funcionários e colaboradores.",UN,1,500000,0,0,0,0,0,0,0,36
46787,98829,3,"Manutenção de equipamentos: como reparos, calibração e atualização de equipamentos médicos.",UN,1,100000,0,0,0,0,0,0,0,36
46787,98830,4,Despesas com viagens e diárias: para deslocamento de equipes e participação em eventos e capacitações.,UN,1,100000,0,0,0,0,0,0,0,36
46787,103519,5,Aquisição de materiais de expediente: Incluindo itens necessários para o funcionamento administrativo da UBS,UN,1,150000,0,0,0,0,0,0,0,36
46787,103520,6,"Pagamentos de serviços básicos: Contas de água.  Luz, Internet das unidades.",UN,1,150000,0,0,0,0,0,0,0,36
46787,103521,7,Aquisição de combustível para veículos: Abastecimento de veículos utilizados nas atividades da Atenção Primária.,UN,1,150000,0,0,0,0,0,0,0,36
