"id_empenho","id_minuta_empenho","numero_empenho","situacao_empenho","descricao_situacao_empenho","tipo_documento_empenho","descricao_tipo_documento_empenho","status_processamento_empenho","ug_responsavel_empenho","ug_emitente_empenho","descricao_ug_emitente_empenho","fonte_recurso_empenho","plano_interno_empenho","ptres_empenho","grupo_natureza_despesa_empenho","natureza_despesa_empenho","subitem_empenho","categoria_despesa_empenho","modalidade_despesa_empenho","cnpj_beneficiario_empenho","nome_beneficiario_empenho","uf_beneficiario_empenho","numero_ro_empenho","data_emissao_empenho","prioridade_desbloqueio_empenho","valor_empenho","id_plano_acao","codigo_ibge_municipio","codigo_ibge_uf"
"47915","2025NME000048821",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252728","4","444041","05","INVESTIMENTO","40","22812960000199","APUÍ","AM",,"2025-07-29","16","495000","76381","1300144","13"
"55533","2025NME000056439",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253198","4","443041","21","INVESTIMENTO","30","15412257000128","ESTADO DE MATO GROSSO DO SUL","MS",,"2025-07-29","37","198000","85293",,"50"
"47709","2025NME000048615",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253199","3","333041","21","CUSTEIO","30","15412257000128","ESTADO DE MATO GROSSO DO SUL","MS",,"2025-07-29","11","755355.15","80837",,"50"
"47916","2025NME000048822",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252728","4","444041","05","INVESTIMENTO","40","22812960000199","APUÍ","AM",,"2025-07-29","16","396000","76382","1300144","13"
"45677","2025NME000046583","2025NE002709","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252518","3","334041","01","CUSTEIO","40","84306588000104","MUNICIPIO DE EPITACIOLANDIA","AC","2025RO002784","2025-09-10","3","990000","76308","1200252","12"
"47855","2025NME000048761","2025NE000751","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252518","4","444041","01","INVESTIMENTO","40","84306455000120","MUNICIPIO DE RODRIGUES ALVES","AC","2025RO000824","2025-09-02","27","1980000","76311","1200427","12"
"48373","2025NME000049279","2025NE000495","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252938","4","444041","39","INVESTIMENTO","40","88572748000100","MUNICIPIO DE NOVA PETROPOLIS","RS","2025RO000568","2025-09-02","48","891000","76051","4313201","43"
"45690","2025NME000046596",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252523","3","334041","27","CUSTEIO","40","01612689000178","MUNICIPIO DE MATUREIA","PB",,"2025-07-29","93","297000","76323","2509396","25"
"45692","2025NME000046598","2025NE006771","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252717","3","334041","31","CUSTEIO","40","11034741000100","MUNICIPIO DE CALCADO","PE","2025RO006853","2025-10-17","45","297000","76491","2603306","26"
"47860","2025NME000048766","2025NE004362","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252692","4","444041","05","INVESTIMENTO","40","04505640000104","MUNICIPIO DE MARAA","AM","2025RO004438","2025-09-26","13","772200","77674","1302801","13"
