"id_historico_op_ob","data_hora_historico_op","historico_situacao_op","descricao_historico_situacao_op","id_op_ob"
151563,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39106
146178,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39131
148878,"2025-09-09T09:49:05.340942",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39131
151582,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39131
148570,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41523
151270,"2025-09-09T12:01:46.137976",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41523
151850,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41523
161852,"2025-09-29T18:27:55.048297",1,"Aguardando Envio para o SIAFI",43528
162506,"2025-09-29T19:00:13.359983",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43528
148201,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41154
150901,"2025-09-09T11:41:56.304278",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41154
152314,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41154
154361,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",41816
156000,"2025-09-11T17:13:59.321585",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41816
157713,"2025-09-11T19:00:00.746328",4,"OP Assinada mas sem OB gerada",41816
160683,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",41816
147760,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40713
150460,"2025-09-09T11:17:15.034373",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40713
154008,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40713
155425,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42880
157064,"2025-09-11T18:44:38.824217",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42880
158747,"2025-09-11T19:29:58.484677",4,"OP Assinada mas sem OB gerada",42880
159819,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42880
146851,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39804
149551,"2025-09-09T10:27:12.037985",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39804
153077,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39804
146852,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39805
149552,"2025-09-09T10:27:15.289113",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39805
153078,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39805
154352,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",41807
155991,"2025-09-11T17:13:26.770664",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41807
157638,"2025-09-11T19:00:00.746328",4,"OP Assinada mas sem OB gerada",41807
160608,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",41807
146840,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39793
149540,"2025-09-09T10:26:35.491144",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39793
153007,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39793
154666,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",42121
156305,"2025-09-11T17:32:12.593631",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",42121
157870,"2025-09-11T19:00:00.746328",4,"OP Assinada mas sem OB gerada",42121
160472,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",42121
146847,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39800
149547,"2025-09-09T10:26:58.803277",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39800
153071,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39800
146839,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39792
149539,"2025-09-09T10:26:32.387129",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39792
